,Year,District,Party,Incumbent,Gender,Age,Edu,score,score_CNN,vote_share,ln_vote_share,Poverty (%),Median_Household_Income,Pop_Total,Sex Ratio,Agesq,Edu_Level,Master & Above,College,High School,Republican,Democratic,Other,city_type,Incumbent_0,Incumbent_1,Gender_F,Gender_M,city_type_rural,city_type_transition,city_type_urban
119,2020,7,Republican,0,M,65.0,Master,76.0,75.0,0.4337608896644225,-0.8352618421816383,10.6,82795,762260,0.9458959938937066,4225.0,3,1,0,0,1,0,0,transition,1,0,0,1,0,1,0
120,2020,8,Republican,0,M,50.0,Doctor,67.0,67.0,0.5605963738604293,-0.5787541085912606,17.9,56872,729399,1.0118410273808245,2500.0,3,1,0,0,1,0,0,rural,1,0,0,1,1,0,0
122,2020,9,Democratic,1,M,69.0,Doctor,64.0,59.0,0.5758302765936354,-0.551942320398253,13.3,75842,775716,0.9673243723053512,4761.0,3,1,0,0,0,1,0,transition,0,1,0,1,0,1,0
123,2020,9,Republican,0,M,77.0,Doctor,71.0,72.0,0.4241697234063646,-0.8576216127925225,13.3,75842,775716,0.9673243723053512,5929.0,3,1,0,0,1,0,0,transition,1,0,0,1,0,1,0
124,2020,10,Democratic,1,M,34.0,Master,68.0,70.0,0.5516692133482496,-0.5948066635085009,12.4,71531,757213,0.996253793001632,1156.0,3,1,0,0,0,1,0,transition,0,1,0,1,0,1,0
125,2020,10,Republican,0,M,53.0,Doctor,52.0,51.0,0.4483307866517504,-0.8022239559611086,12.4,71531,757213,0.996253793001632,2809.0,3,1,0,0,1,0,0,transition,1,0,0,1,0,1,0
126,2020,11,Democratic,1,M,68.0,Bachelor,71.0,74.0,0.7299276166266332,-0.3148099050618945,8.9,105392,760284,0.9596615176033012,4624.0,2,0,1,0,0,1,0,urban,0,1,0,1,0,0,1
128,2020,12,Democratic,1,F,80.0,Bachelor,86.0,86.0,0.7763493594158976,-0.2531526546781201,10.3,122043,763777,1.0534951873958165,6400.0,2,0,1,0,0,1,0,urban,0,1,1,0,0,0,1
129,2020,12,Democratic,0,M,46.0,Doctor,72.0,74.0,0.2236506405841025,-1.4976700848815714,10.3,122043,763777,1.0534951873958165,2116.0,3,1,0,0,0,1,0,urban,1,0,0,1,0,0,1
130,2020,13,Democratic,1,F,74.0,Master,71.0,69.0,0.9036569299207868,-0.1013054929191971,13.3,91829,760817,0.9455797099596216,5476.0,3,1,0,0,0,1,0,transition,0,1,1,0,0,1,0
132,2020,14,Democratic,1,F,70.0,Doctor,77.0,71.0,0.7928705569218406,-0.2320953027999294,6.7,123507,749549,0.9841411440823782,4900.0,3,1,0,0,0,1,0,transition,0,1,1,0,0,1,0
133,2020,14,Republican,0,M,51.0,Master,77.0,76.0,0.2071294430781594,-1.5744113522734042,6.7,123507,749549,0.9841411440823782,2601.0,3,1,0,0,1,0,0,transition,1,0,0,1,0,1,0
134,2020,15,Democratic,1,M,40.0,Doctor,54.0,53.0,0.7090466616671676,-0.3438339412627676,6.3,122791,788527,0.9838105469192238,1600.0,3,1,0,0,0,1,0,urban,0,1,0,1,0,0,1
135,2020,15,Republican,0,F,61.0,Master,75.0,74.0,0.2909533383328324,-1.2345923740396894,6.3,122791,788527,0.9838105469192238,3721.0,3,1,0,0,1,0,0,urban,1,0,1,0,0,0,1
136,2020,16,Democratic,1,M,68.0,Bachelor,77.0,76.0,0.5937830193467418,-0.5212413136481954,24.1,51952,736400,0.9968057615601332,4624.0,2,0,1,0,0,1,0,transition,0,1,0,1,0,1,0
