Year,State,District,Name,Photo,Photo_Downloadable,Party,Votes,Incumbent,ID,Gender,Year_of_Birth,Edu,score,score_CNN,Poverty (%),Median_Household_Income,Pop_Total,Pop_M,Pop_F,Sex Ratio,total_votes,vote_share,ln_vote_share,Age
2018,CA,27,Judy Chu,https://upload.wikimedia.org/wikipedia/commons/b/bf/Judy_Chu_2019-05-02_%28cropped%29.jpg,T,Democratic,160504.0,1,CA_27_1,F,1953.0,Doctor,82.0,82.0,11.7,82690,705509,339827,365682,0.9292964925809856,202636.0,0.7920803805839042,-0.23309240168129475,65.0
2018,CA,27,Bryan Witt,https://upload.wikimedia.org/wikipedia/commons/b/bd/3x4.svg,F,Democratic,42132.0,0,CA_27_2,M,1962.0,,80.0,81.0,11.7,82690,705509,339827,365682,0.9292964925809856,202636.0,0.20791961941609585,-1.5706037190848992,56.0
2018,CA,28,Adam Schiff,https://upload.wikimedia.org/wikipedia/commons/9/9c/Adam_Schiff_official_portrait_%28cropped%29.jpg,T,Democratic,196662.0,1,CA_28_1,M,1960.0,Doctor,67.0,70.0,12.5,76727,709450,348013,361437,0.9628593641492156,250934.0,0.7837200219978162,-0.24370343721110788,58.0
2018,CA,28,Johnny Nalbandian,https://upload.wikimedia.org/wikipedia/commons/b/bd/3x4.svg,F,Republican,54272.0,0,CA_28_2,M,1954.0,Bachelor,67.0,77.0,12.5,76727,709450,348013,361437,0.9628593641492156,250934.0,0.21627997800218385,-1.5311815161782334,64.0
2018,CA,29,Tony Cárdenas,https://upload.wikimedia.org/wikipedia/commons/0/09/Tony_C%C3%A1rdenas_114th_Congress_%28cropped%29.jpg,T,Democratic,124697.0,1,CA_29_1,M,1963.0,Bachelor,65.0,67.0,16.1,61523,707741,355538,352203,1.009468971019554,154692.0,0.8060985700618002,-0.21554924859094193,55.0
2018,CA,29,Benito Benny Bernal,https://upload.wikimedia.org/wikipedia/commons/b/bd/3x4.svg,F,Republican,29995.0,0,CA_29_2,M,1964.0,Bachelor,70.0,71.0,16.1,61523,707741,355538,352203,1.009468971019554,154692.0,0.19390142993819978,-1.6404053421439115,54.0
2018,CA,30,Brad Sherman,https://upload.wikimedia.org/wikipedia/commons/9/95/Brad_Sherman%2C_official_portrait%2C_116th_Congress_%28cropped%29.jpg,T,Democratic,191573.0,1,CA_30_1,M,1954.0,Doctor,69.0,70.0,9.8,86771,766513,375891,390622,0.9622883503745308,260993.0,0.7340158548313557,-0.3092246500132328,64.0
2018,CA,30,Mark Reed,https://upload.wikimedia.org/wikipedia/commons/1/1a/Mark_Reed_%282018%29_%28cropped%29.png,T,Republican,69420.0,0,CA_30_2,M,1957.0,Bachelor,66.0,69.0,9.8,86771,766513,375891,390622,0.9622883503745308,260993.0,0.2659841451686444,-1.324318576606021,61.0
2018,CA,31,Pete Aguilar,https://upload.wikimedia.org/wikipedia/commons/e/e5/Pete_Aguilar_Official_Portrait%2C_115th_Congress_%28cropped%29.jpg,T,Democratic,110143.0,1,CA_31_1,M,1979.0,Bachelor,74.0,74.0,15.0,69368,751527,368078,383449,0.9599138346950964,187495.0,0.5874449985332942,-0.5319726568642007,39.0
2018,CA,31,Sean Flynn,https://upload.wikimedia.org/wikipedia/commons/b/bd/3x4.svg,F,Republican,77352.0,0,CA_31_2,M,1973.0,Master,71.0,73.0,15.0,69368,751527,368078,383449,0.9599138346950964,187495.0,0.41255500146670576,-0.8853857452069905,45.0
2018,CA,32,Grace Napolitano,https://upload.wikimedia.org/wikipedia/commons/f/f8/Rep-Napolitano_%28alt_crop%29.jpg,T,Democratic,121759.0,1,CA_32_1,F,1936.0,Bachelor,77.0,75.0,11.0,75176,716199,348260,367939,0.9465155908995784,177031.0,0.6877834955459778,-0.3742811772794726,82.0
2018,CA,32,Joshua Scott,https://upload.wikimedia.org/wikipedia/commons/b/bd/3x4.svg,F,Republican,55272.0,0,CA_32_2,M,,Bachelor,70.0,70.0,11.0,75176,716199,348260,367939,0.9465155908995784,177031.0,0.31221650445402216,-1.1640584072948363,
2018,CA,33,Ted Lieu,https://upload.wikimedia.org/wikipedia/commons/c/c1/Congressman_Ted_W._Lieu_official_photo_%28cropped%29.jpg,T,Democratic,219091.0,1,CA_33_1,M,1969.0,Doctor,77.0,80.0,7.7,117040,704818,345390,359428,0.9609434991152608,312860.0,0.7002844722879243,-0.3562686375096208,49.0
2018,CA,33,Kenneth Wright,https://upload.wikimedia.org/wikipedia/commons/b/bd/3x4.svg,F,Republican,93769.0,0,CA_33_2,M,1950.0,Master,74.0,65.0,7.7,117040,704818,345390,359428,0.9609434991152608,312860.0,0.2997155277120757,-1.2049214951505518,68.0
2018,CA,34,Jimmy Gomez,https://upload.wikimedia.org/wikipedia/commons/c/ce/Jimmy_Gomez%2C_official_portrait%2C_115th_Congress_%28cropped%29.jpg,T,Democratic,110195.0,1,CA_34_1,M,1974.0,Master,78.0,79.0,20.6,51744,748812,384917,363895,1.0577694115060663,151906.0,0.7254157176148408,-0.32101038485381694,44.0
2018,CA,34,Kenneth Mejia,https://upload.wikimedia.org/wikipedia/commons/4/45/Kenneth_Mejia%2C_2017_%28cropped%29.png,T,Green,41711.0,0,CA_34_2,M,1990.0,Bachelor,68.0,72.0,20.6,51744,748812,384917,363895,1.0577694115060663,151906.0,0.27458428238515925,-1.2924970255050838,28.0
2018,CA,35,Norma Torres,https://upload.wikimedia.org/wikipedia/commons/6/62/Norma_Torres_115th_official_photo_%28cropped%29.jpg,T,Democratic,103420.0,1,CA_35_1,F,1965.0,Bachelor,72.0,72.0,13.9,69814,769589,382031,387558,0.9857389087568827,149024.0,0.6939821773674039,-0.36530899983189136,53.0
2018,CA,35,Christian Valiente,https://upload.wikimedia.org/wikipedia/commons/b/bd/3x4.svg,F,Republican,45604.0,0,CA_35_2,M,1984.0,High_school,76.0,73.0,13.9,69814,769589,382031,387558,0.9857389087568827,149024.0,0.3060178226325961,-1.1841119348284934,34.0
2018,CA,36,Raul Ruiz,https://upload.wikimedia.org/wikipedia/commons/5/5c/Raul_Ruiz%2C_official_portrait%2C_113th_congress_%283x4%29.jpg,T,Democratic,122169.0,1,CA_36_1,M,1972.0,Master,72.0,69.0,15.6,50857,752138,377080,375058,1.0053911661662995,207008.0,0.5901655974648323,-0.5273521077946501,46.0
2018,CA,36,Kimberlin Brown Pelzer,https://upload.wikimedia.org/wikipedia/commons/f/f2/Kimberlin_Brown_Pelzer_%28cropped%29.jpg,T,Republican,84839.0,0,CA_36_2,F,1961.0,Bachelor,70.0,70.0,15.6,50857,752138,377080,375058,1.0053911661662995,207008.0,0.40983440253516773,-0.8920020971275342,57.0
2018,CA,37,Karen Bass,https://upload.wikimedia.org/wikipedia/commons/5/53/Karen-Bass-2012_%283x4%29.jpg,T,Democratic,210555.0,1,CA_37_1,F,1953.0,Master,69.0,49.0,17.2,67686,738174,362793,375381,0.9664660704724,236378.0,0.890755484858997,-0.11568531694119821,65.0
2018,CA,37,Ron J. Bassilian,https://upload.wikimedia.org/wikipedia/commons/b/bd/3x4.svg,F,Republican,25823.0,0,CA_37_2,M,1974.0,Bachelor,66.0,72.0,17.2,67686,738174,362793,375381,0.9664660704724,236378.0,0.10924451514100297,-2.2141666509257454,44.0
2018,CA,38,Linda Sánchez,https://upload.wikimedia.org/wikipedia/commons/0/0c/Linda_S%C3%A1nchez%2C_116th_Congress%2C_official_photo_%28cropped%29.jpg,T,Democratic,139188.0,1,CA_38_1,F,1969.0,Doctor,72.0,69.0,9.3,77214,716331,351312,365019,0.9624485300765164,202156.0,0.6885177783493935,-0.3732141392885728,49.0
2018,CA,38,Ryan Downing,https://upload.wikimedia.org/wikipedia/commons/b/bd/3x4.svg,F,Republican,62968.0,0,CA_38_2,M,1989.0,,60.0,63.0,9.3,77214,716331,351312,365019,0.9624485300765164,202156.0,0.31148222165060646,-1.1664130157361632,29.0
2018,CA,39,Gil Cisneros,https://upload.wikimedia.org/wikipedia/commons/0/0b/Gil_Cisneros%2C_official_portrait%2C_116th_Congress_%28cropped%29.jpg,T,Democratic,126002.0,0,CA_39_1,M,1971.0,Master,68.0,67.0,8.6,96280,726541,354671,371870,0.9537499663861028,244393.0,0.5155712315819193,-0.6624798054746918,47.0
2018,CA,39,Young Kim,https://upload.wikimedia.org/wikipedia/commons/d/d0/Young_Kim_%28cropped%29.jpg,T,Republican,118391.0,0,CA_39_2,F,1962.0,Bachelor,85.0,85.0,8.6,96280,726541,354671,371870,0.9537499663861028,244393.0,0.4844287684180807,-0.7247848792688496,56.0
2018,CA,40,Lucille Roybal-Allard,https://upload.wikimedia.org/wikipedia/commons/2/29/Lucille_Roybal-Allard%2C_Official_Portrait%2C_113th_Congress_%28cropped%29.jpg,T,Democratic,93938.0,1,CA_40_1,F,1941.0,Bachelor,76.0,76.0,20.4,58834,716470,360732,355738,1.0140384215349498,121449.0,0.7734769327042627,-0.2568594313862112,77.0
2018,CA,40,Rodolfo Cortes Barragan,https://upload.wikimedia.org/wikipedia/commons/b/bd/3x4.svg,F,Green,27511.0,0,CA_40_2,M,1987.0,Doctor,69.0,68.0,20.4,58834,716470,360732,355738,1.0140384215349498,121449.0,0.22652306729573732,-1.4849084968793438,31.0
2018,CA,41,Mark Takano,https://upload.wikimedia.org/wikipedia/commons/1/1a/Mark_Takano_113th_Congress_%28cropped%29.jpg,T,Democratic,108227.0,1,CA_41_1,M,1960.0,Master,79.0,78.0,14.5,70144,775626,381077,394549,0.9658546847159668,166248.0,0.6509973052307396,-0.42924977621264276,58.0
